country,countryID,gold2024,silver2024,bronze2024
United States, USA,40,44,42
People's Republic of China, CHN,40,27,24
Japan, JPN,20,12,13
Australia, AUS,18,19,16
France, FRA,16,26,22
Netherlands, NED,15,7,12
Great Britain, GBR,14,22,29
Republic of Korea, KOR,13,9,10
Italy, ITA,12,13,15
Germany, GER,12,13,8
New Zealand, NZL,10,7,3
Canada, CAN,9,7,11
Uzbekistan, UZB,8,2,3
Hungary, HUN,6,7,6
Spain, ESP,5,4,9
Sweden, SWE,4,4,3
Kenya, KEN,4,2,5
Norway, NOR,4,1,3
Ireland, IRL,4,0,3
Brazil, BRA,3,7,10
Islamic Republic of Iran, IRI,3,6,3
Ukraine, UKR,3,5,4
Romania, ROU,3,4,2
Georgia, GEO,3,3,1
Belgium, BEL,3,1,6
Bulgaria, BUL,3,1,3
Serbia, SRB,3,1,1
Czechia, CZE,3,0,2
Denmark, DEN,2,2,5
Azerbaijan, AZE,2,2,3
Croatia, CRO,2,2,3
Cuba, CUB,2,1,6
Bahrain, BRN,2,1,1
Slovenia, SLO,2,1,0
Chinese Taipei, TPE,2,0,5
Austria, AUT,2,0,3
"Hong Kong, China", HKG,2,0,2
Philippines, PHI,2,0,2
Algeria, ALG,2,0,1
Indonesia, INA,2,0,1
Israel, ISR,1,5,1
Poland, POL,1,4,5
Kazakhstan, KAZ,1,3,3
Jamaica, JAM,1,3,2
South Africa, RSA,1,3,2
Thailand, THA,1,3,2
Individual Neutral Athletes, AIN,1,3,1
Ethiopia, ETH,1,3,0
Switzerland, SUI,1,2,5
Ecuador, ECU,1,2,2
Portugal, POR,1,2,1
Greece, GRE,1,1,6
Argentina, ARG,1,1,1
Egypt, EGY,1,1,1
Tunisia, TUN,1,1,1
Botswana, BOT,1,1,0
Chile, CHI,1,1,0
Saint Lucia, LCA,1,1,0
Uganda, UGA,1,1,0
Dominican Republic, DOM,1,0,2
Guatemala, GUA,1,0,1
Morocco, MAR,1,0,1
Dominica, DMA,1,0,0
Pakistan, PAK,1,0,0
Türkiye, TUR,0,3,5
Mexico, MEX,0,3,2
Armenia, ARM,0,3,1
Colombia, COL,0,3,1
Democratic People's Republic of Korea, PRK,0,2,4
Kyrgyzstan, KGZ,0,2,4
Lithuania, LTU,0,2,2
India, IND,0,1,5
Republic of Moldova, MDA,0,1,3
Kosovo, KOS,0,1,1
Cyprus, CYP,0,1,0
Fiji, FIJ,0,1,0
Jordan, JOR,0,1,0
Mongolia, MGL,0,1,0
Panama, PAN,0,1,0
Tajikistan, TJK,0,0,3
Albania, ALB,0,0,2
Grenada, GRN,0,0,2
Malaysia, MAS,0,0,2
Puerto Rico, PUR,0,0,2
Cabo Verde, CPV,0,0,1
Côte d'Ivoire, CIV,0,0,1
Peru, PER,0,0,1
Qatar, QAT,0,0,1
Singapore, SGP,0,0,1
Slovakia, SVK,0,0,1
Zambia, ZAM,0,0,1
Équipe Olympique des Réfugies, EOR,0,0,1
